pt_cnt,EL_MAX_ELGBLTY_CD_LTST,STATE_CD
36274,35,KY
36662,21,MA
36865,44,MA
37305,34,AK
37325,00,WI
37329,00,UT
37546,45,IN
37609,32,IN
37726,44,VA
37877,42,CT
38099,32,OK
38168,32,AZ
38198,42,IA
38374,15,HI
38385,15,DE
38396,44,IA
38474,41,CT
38488,44,CT
38773,15,MA
39576,55,OK
39633,00,MI
39648,32,NY
39744,12,KS
40001,31,WI
40015,45,TN
40136,44,NY
40266,34,WY
41039,44,OR
41194,41,TN
41230,32,MS
41399,11,WA
41403,41,MN
41594,15,KS
41618,44,MD
42195,24,FL
42277,31,KY
42377,24,MI
42642,12,IA
42898,25,PA
43029,42,MI
43085,31,MS
43194,31,ME
43394,32,LA
43594,31,VA
43672,42,AZ
44258,11,MI
44527,32,WI
44529,45,OR
44761,99,PA
45233,14,KS
45246,34,VT
45321,55,IN
45661,00,AZ
45766,35,HI
45861,41,NJ
45976,32,SC
46252,32,KY
46399,42,IL
46775,35,MI
46783,14,LA
47175,99,LA
47530,31,SC
47561,44,TN
48029,48,PA
48042,31,NJ
48063,31,AZ
48093,15,LA
48722,31,IL
49107,44,CO
49214,45,MD
49388,00,MO
49518,35,LA
49857,24,PA
50660,11,OH
50665,14,OK
51324,34,RI
51621,15,NM
51792,31,OH
51838,15,IA
52115,12,NM
52219,48,NY
52268,32,VA
52540,48,IL
53271,15,NV
53394,15,OR
54649,11,NC
55335,45,DC
55347,55,DE
55831,51,WI
56174,14,AL
56893,34,SD
57369,48,FL
57525,32,AL
57576,31,LA
57599,00,KS
58264,11,MA
58584,35,IN
59037,41,MO
59577,35,AZ
59976,35,NY
60139,55,GA
60658,32,OH
60711,41,IN
61265,14,UT
62638,55,WI
63225,34,CT
63737,00,MA
63983,00,VA
64200,45,ME
64428,12,OR
64859,55,AR
65664,15,KY
65815,34,MT
65901,15,MS
67222,32,TN
67273,55,VT
67727,34,MN
67937,54,MN
69274,31,MI
69471,31,AL
69819,35,NC
70150,21,IL
70151,31,CT
70380,00,OR
70638,42,TX
71044,31,MA
71122,11,PA
71472,31,TN
71683,45,AZ
72115,00,MS
72367,32,GA
73011,55,OR
73867,12,WV
74834,12,MN
76850,55,NC
77562,14,DE
77736,14,IA
78741,14,MA
78750,42,OH
78851,48,CA
79454,15,NJ
79502,12,OK
79554,55,WA
80986,41,FL
81773,48,TX
81979,42,IN
82043,41,PA
82156,00,CO
82249,42,PA
82616,34,NH
82658,45,PA
83557,35,FL
84079,25,MI
84429,32,IL
84603,14,NM
84675,99,MI
85814,14,NV
86504,12,CO
87604,15,SC
88166,35,CA
88908,45,MA
89126,32,MA
89634,15,OK
91223,55,FL
91345,12,MO
91459,55,MO
91535,32,MI
92604,35,NM
93756,14,MS
93974,44,PA
94292,44,WI
94564,12,IN
95306,54,AR
96357,41,OH
97314,31,GA
97830,22,IL
98515,31,PA
99185,12,MD
99962,31,NY
100718,45,MI
101383,14,OR
102522,12,WI
103129,14,IL
103632,42,MO
104056,15,MO
104206,14,OH
104403,42,MA
104696,35,PA
